Product Name,Price,Like Count,Comment Count,Comment Date
Celengan Target JUMBO Permanen atau Buka Tutup,Rp11.875,750,111,23 Apr
OTG 2 IN 1 DINAMI MICRO TYPE C FAST TRANSFER OTG FLASH DISK MOUSE,Rp5.999,"1,4RB",19,26 Feb
500gr - BASRENG SULTAN BANDUNG,Rp25.650,"10,1RB",569,1 Apr
RG TWS Headset Bluetooth f9 f9-5 Air 13 Pro M12 Max I12 Macaron 12 Pro Earphone Stereo Led Display,Rp30.875,662,17,24 Apr
HC-17 Kabel Data Charger 3in1 Tipe C + Micro + Lightning 120w 6A Super Fast Charging Turbo,Rp9.950,"4,2RB",119,19 Mar
Eat Sambel - SEMUA VARIAN RASA (BEST SELLER!!!),Rp35.000,"1,3RB",24,16 Mei
